# num_particles=5000
time,x_est,y_est,x_gt,y_gt,rmse
1768520750.88517,-4.30172,-2.40583,-4.28841,-2.46924,0.04735
1768520750.98630,-4.35424,-2.33814,-4.23617,-2.55451,0.32268
1768520751.09573,-3.93739,-2.43263,-4.18224,-2.63872,0.29694
1768520751.19139,-3.88531,-2.63639,-4.12663,-2.72183,0.22100
1768520751.28683,-3.91892,-2.79731,-4.06937,-2.80381,0.30797
1768520751.38950,-3.88820,-2.91675,-4.01049,-2.88463,0.06635
1768520751.48581,-3.99933,-2.81923,-3.94999,-2.96426,0.05442
1768520751.62009,-3.95836,-2.91049,-3.88792,-3.04266,0.09937
1768520751.68796,-3.80983,-3.10411,-3.82430,-3.11981,0.07700
1768520751.80525,-3.81370,-3.06313,-3.75914,-3.19566,0.08410
1768520751.90425,-3.78994,-3.11741,-3.69248,-3.27020,0.15199
1768520751.99234,-3.77356,-3.14164,-3.62434,-3.34339,0.13806
1768520752.09399,-3.71752,-3.24151,-3.55475,-3.41521,0.16129
1768520752.19824,-3.66105,-3.29389,-3.48374,-3.48561,0.16106
1768520752.28898,-3.57469,-3.35269,-3.41134,-3.55459,0.11814
1768520752.41322,-3.56337,-3.39834,-3.33757,-3.62210,0.09454
1768520752.48762,-3.47917,-3.48873,-3.26246,-3.68812,0.25502
1768520752.60483,-3.45246,-3.51802,-3.18605,-3.75263,0.21203
1768520752.70255,-3.34363,-3.61075,-3.10837,-3.81559,0.15629
1768520752.79636,-3.22896,-3.71617,-3.02944,-3.87699,0.20107
1768520752.89889,-3.18660,-3.75158,-2.94930,-3.93680,0.10020
1768520752.99724,-3.02448,-3.87056,-2.86798,-3.99500,0.17120
1768520753.09629,-3.00054,-3.88666,-2.78551,-4.05155,0.24747
1768520753.19168,-2.98424,-3.90407,-2.70193,-4.10645,0.21200
1768520753.29729,-2.87784,-3.98814,-2.61727,-4.15966,0.06275
1768520753.40789,-2.66685,-4.12121,-2.53156,-4.21117,0.16024
1768520753.67079,-2.66299,-4.11952,-2.35713,-4.30900,0.19011
1768520753.71329,-2.61177,-4.17001,-2.35713,-4.30900,0.07338
1768520753.80828,-2.41255,-4.26090,-2.26848,-4.35528,0.15534
1768520753.90367,-2.38709,-4.25497,-2.17893,-4.39977,0.06373
1768520754.05781,-2.22824,-4.35940,-2.08850,-4.44247,0.01764
1768520754.08718,-2.07096,-4.44071,-1.99724,-4.48335,0.06186
1768520754.79723,-2.02721,-4.45078,-1.90518,-4.52239,0.08780
1768520754.92173,-1.82893,-4.56591,-1.81236,-4.55959,0.09541
1768520755.00284,-1.73235,-4.61157,-1.71881,-4.59492,0.02986
1768520755.09024,-1.74230,-4.61336,-1.62458,-4.62838,0.11741
1768520755.23952,-1.73339,-4.58428,-1.52969,-4.65994,0.04546
1768520755.28983,-1.49041,-4.68284,-1.43419,-4.68960,0.03094
1768520755.41107,-1.50205,-4.67385,-1.33812,-4.71735,0.03096
1768520755.48438,-1.31281,-4.73518,-1.24151,-4.74316,0.09420
1768520755.59440,-1.32596,-4.70143,-1.14441,-4.76704,0.03925
1768520755.68912,-1.20238,-4.74628,-1.04684,-4.78898,0.27751
1768520755.79996,-0.88151,-4.85591,-0.94886,-4.80895,0.06700
1768520755.90462,-0.88227,-4.80158,-0.85050,-4.82697,0.05849
1768520756.05753,-0.89166,-4.79675,-0.75179,-4.84301,0.11237
1768520756.09080,-0.64020,-4.85619,-0.65279,-4.85708,0.02110
1768520756.19599,-0.67133,-4.86715,-0.55352,-4.86916,0.01988
1768520756.30802,-0.63320,-4.85372,-0.45404,-4.87926,0.00226
1768520756.40348,-0.55541,-4.87040,-0.35437,-4.88736,0.11957
1768520756.49061,-0.47312,-4.90134,-0.25456,-4.89347,0.02786
1768520756.59070,-0.32767,-4.89534,-0.15464,-4.89758,0.14061
1768520756.68968,-0.29421,-4.88049,-0.05467,-4.89970,0.19729
1768520756.79670,-0.25158,-4.88749,0.04533,-4.89981,0.01735
1768520756.89595,-0.06989,-4.89137,0.14531,-4.89792,0.06831
1768520756.99432,-0.02084,-4.88286,0.24524,-4.89404,0.10379
1768520757.08998,0.14323,-4.91320,0.34506,-4.88815,0.03234
1768520757.19209,0.22825,-4.92156,0.44475,-4.88028,0.14188
1768520757.78604,0.30894,-4.92134,0.64355,-4.85855,0.04148
