# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768584003.75068,-1.75626,4.74317,-1.92412,4.71453,0.08713
1768584003.86170,-1.91610,4.77278,-2.01602,4.67510,0.61380
1768584003.94962,-1.59866,5.12517,-2.10711,4.63385,0.58035
1768584004.05047,-1.62384,5.10288,-2.19736,4.59078,0.22800
1768584004.14820,-2.01868,4.73239,-2.28673,4.54592,0.02493
1768584004.25666,-2.17386,4.59909,-2.37519,4.49928,0.17282
1768584004.35373,-2.23080,4.59424,-2.46269,4.45088,0.03592
1768584004.45361,-2.34525,4.47942,-2.54921,4.40074,0.06551
1768584004.55388,-2.48160,4.38816,-2.63471,4.34888,0.12909
1768584004.65217,-2.56479,4.45739,-2.71916,4.29532,0.02164
1768584004.75060,-2.64755,4.36630,-2.80251,4.24008,0.11167
1768584004.84846,-2.79503,4.21338,-2.88475,4.18318,0.02374
1768584004.95276,-2.82321,4.25170,-2.96583,4.12466,0.06284
1768584005.05005,-2.94737,4.18847,-3.04573,4.06452,0.03521
1768584005.15349,-2.99579,4.14315,-3.12440,4.00280,0.04711
1768584005.25670,-3.08567,4.02962,-3.20183,3.93951,0.10552
1768584005.35263,-3.12414,4.01092,-3.27797,3.87469,0.08268
1768584005.45200,-3.23000,3.94204,-3.35280,3.80836,0.03879
1768584005.55323,-3.30839,3.85063,-3.42630,3.74055,0.07545
1768584005.66586,-3.27762,3.81467,-3.49842,3.67128,0.00188
1768584005.75727,-3.42509,3.73910,-3.56914,3.60058,0.08107
1768584005.84770,-3.53023,3.67170,-3.63843,3.52848,0.02028
1768584005.94928,-3.55357,3.61358,-3.70627,3.45501,0.05137
1768584006.05147,-3.58852,3.54064,-3.77262,3.38020,0.08128
1768584006.15445,-3.63260,3.48936,-3.83747,3.30408,0.17440
1768584006.26103,-3.70601,3.41868,-3.90078,3.22667,0.16240
1768584006.34804,-3.81882,3.36687,-3.96253,3.14802,0.08281
1768584006.45520,-3.84840,3.29082,-4.02269,3.06814,0.06569
1768584006.55757,-4.01399,3.10720,-4.08125,2.98708,0.04136
1768584006.66470,-4.03549,3.10747,-4.13817,2.90486,0.19346
1768584006.75556,-4.04710,3.07555,-4.19343,2.82153,0.06185
1768584006.84900,-4.08651,2.93888,-4.24702,2.73710,0.03519
1768584006.96534,-4.16462,2.84172,-4.29891,2.65162,0.15222
1768584007.05483,-4.22050,2.78209,-4.34908,2.56511,0.15080
1768584007.15851,-4.24326,2.67255,-4.39751,2.47762,0.01938
1768584007.25362,-4.34106,2.58276,-4.44418,2.38918,0.00966
1768584007.35118,-4.40201,2.48617,-4.48907,2.29983,0.04532
1768584007.47060,-4.53433,2.29747,-4.53217,2.20959,0.07986
1768584007.55616,-4.52885,2.28938,-4.57345,2.11851,0.09998
1768584007.65516,-4.54636,2.21475,-4.61290,2.02663,0.11389
1768584007.74803,-4.58570,2.13722,-4.65051,1.93397,0.14097
1768584007.84921,-4.64870,2.07493,-4.68625,1.84058,0.09751
1768584007.95289,-4.64274,1.92784,-4.72013,1.74649,0.13822
1768584008.05131,-4.77444,1.87360,-4.75211,1.65175,0.11715
1768584008.15563,-4.75855,1.76872,-4.78219,1.55638,0.14061
1768584008.25105,-4.77128,1.69657,-4.81036,1.46043,0.07351
1768584008.34824,-4.74872,1.62183,-4.83661,1.36394,0.08458
1768584008.44840,-4.89052,1.43346,-4.86092,1.26694,0.03649
1768584008.55447,-4.87027,1.37802,-4.88328,1.16948,0.24816
1768584008.65116,-4.85959,1.41650,-4.90369,1.07158,0.06847
1768584008.74813,-4.90006,1.23586,-4.92214,0.97330,0.06874
1768584008.84931,-4.89716,1.14001,-4.93862,0.87467,0.01916
1768584008.95468,-4.90668,0.96199,-4.95313,0.77573,0.16246
1768584009.05119,-4.90643,0.93134,-4.96565,0.67652,0.12536
1768584009.14718,-4.88595,0.88157,-4.97619,0.57708,0.05449
1768584009.24853,-4.91435,0.69488,-4.98473,0.47744,0.06021
1768584009.34956,-4.97418,0.51690,-4.99128,0.37766,0.07308
1768584009.44760,-4.95491,0.31427,-4.99584,0.27777,0.03166
1768584009.54888,-4.96287,0.36370,-4.99839,0.17780,0.17726
1768584009.64786,-4.93777,0.11029,-4.99895,0.07780,0.09241
1768584009.74935,-4.95432,0.09658,-4.99751,-0.02218,0.06019
