# num_particles=1000
time,x_est,y_est,x_gt,y_gt,rmse
1768584461.95271,-4.88234,-0.25474,-4.96314,-0.49779,0.17642
1768584462.05361,-4.80984,-0.33404,-4.95019,-0.59695,0.52249
1768584462.14877,-5.32713,-0.23512,-4.93526,-0.69583,0.68250
1768584462.24740,-5.37929,-0.17752,-4.91836,-0.79439,0.14986
1768584462.35095,-5.06900,-0.62821,-4.89949,-0.89259,0.06492
1768584462.44840,-4.98311,-0.78974,-4.87866,-0.99039,0.14380
1768584462.54764,-4.91553,-0.85140,-4.85588,-1.08776,0.08579
1768584462.65234,-4.90866,-1.07077,-4.83115,-1.18465,0.08435
1768584462.74808,-4.87679,-1.16948,-4.80449,-1.28103,0.01891
1768584462.84873,-4.84967,-1.18085,-4.77591,-1.37686,0.06120
1768584462.95410,-4.77089,-1.33219,-4.74542,-1.47210,0.09635
1768584463.05285,-4.72681,-1.37756,-4.71303,-1.56671,0.10047
1768584463.14867,-4.84557,-1.46402,-4.67876,-1.66065,0.08672
1768584463.24917,-4.71492,-1.65341,-4.64261,-1.75388,0.02428
1768584463.34821,-4.70106,-1.65104,-4.60461,-1.84638,0.04202
1768584463.44961,-4.60445,-1.73630,-4.56476,-1.93810,0.04532
1768584463.54826,-4.60507,-1.89170,-4.52309,-2.02900,0.06557
1768584463.65100,-4.51184,-1.89938,-4.47961,-2.11905,0.09776
1768584463.76062,-4.62033,-2.03912,-4.43434,-2.20821,0.07178
1768584463.84835,-4.44590,-2.13737,-4.38729,-2.29645,0.03331
1768584463.94800,-4.44590,-2.17697,-4.33848,-2.38373,0.03594
1768584464.05656,-4.35682,-2.27738,-4.28795,-2.47002,0.03245
1768584464.14897,-4.32771,-2.35312,-4.23569,-2.55528,0.07952
1768584464.24923,-4.28479,-2.49273,-4.18174,-2.63947,0.15565
1768584464.34870,-4.28071,-2.51935,-4.12612,-2.72257,0.08093
1768584464.46714,-4.23154,-2.57567,-4.06885,-2.80455,0.06080
1768584464.55220,-4.12807,-2.79082,-4.00995,-2.88536,0.06281
1768584464.65058,-4.11567,-2.84641,-3.94944,-2.96497,0.04309
1768584464.74766,-3.96704,-2.88931,-3.88735,-3.04336,0.06567
1768584464.85007,-3.94060,-3.03005,-3.82371,-3.12050,0.04476
1768584464.95018,-3.87577,-3.08660,-3.75854,-3.19634,0.09803
1768584465.04948,-3.82146,-3.12117,-3.69187,-3.27087,0.01862
